Brand,Name,Quantity,Sealed,Expires / Best Before,Cost,Sow Indoors,Sow Outdoors,Plant Out,Harvest,Flowers,Light condition,Pots,Notes,"Anual, Bienial, Perenial",Cutting,Drying,Cattegory
Thompson & Morgan,Aguilegia Magpie,1,,,,"Feb - Jun, Sep - Oct",,,,May - Jul,,,,Hardy Perenial,,,Flower
Mr Fothergill's,Antirrhinum (Rust Resistant Mixed),0.5,,,,Jan - Mar,,May - Jul,,Jul - Oct,,,,Half hardy Perenial,,,Flower
Thompson & Morgan,Antirrhinum Majus Nanum Rembrant,1,,,,Jan - Mar,,,,,,,,,,,Flower
Mr Fothergill's,Aquilegia (McKana Giant Mixed),0.5,,,,Feb - Jun,Apr - Jun,Jun - Oct,,May - Jul,,,,Hardy Perenail,,,Flower
Mr Fothergill's,Artichoke (Green Globe),0.5,,,,Feb - Mar,Mar - Apr,May - Jun,,Jul - Oct,,,,,,,Veg
Mr Fothergill's,Aster Ostritch Feather,0.5,,,,Feb - Apr,Mar - May ,May - Jun,,Jul - Oct,,,,Half hardy Annual,Y,,Flower
Asda,Basil Sweet Green,0.5,02/2024,12/2026,0.75,Feb - Jul,,,Jun - Sep,,,,,,,,Herb
Mr Fothergill's,Black Eyed Susan (Susie Mixed),0.5,,,,Feb - Apr,,May - Jun,,Jul - Oct,,,,Half Hardy Perenial,,,Flower
Unwins,Borrage Blue,1,,,,,Mar - May ,,Jun - Oct,,,,,,,,Flower
Mr Fothergill's,Brocoli (Autumn Covina),0.5,,,,Feb - Apr,Mar - Jun,Apr - Jun,Jun - Nov,,,,,,,,Veg
Unwins,Camomile,1.5,,,,,Mar - May,,Jul - Aug,,,,,,,,Flower
Country Value,Cat Grass,1,,,,,,,,,,,,,,,Flower
Asda,Chives Fine Leaved,0.5,02/2024,12/2025,0.75,Mar - Apr,Mar - Apr,,Jun - Sep,,,,,,,,Herb
Unwins,Chives Fine Leaved,1,10/2024,,,Mar - Apr,,,Jun - Sep,,,,,,,,Herb
